Champion,Picks,Bans,Presence,Wins,Losses,Winrate,KDA,Avg BT,GT,CSM,DPM,GPM,CSD@15,GD@15,XPD@15,Year
Diana Diana,0,0,0%,,,,,-,,,,,,,,2017
Dr. Mundo Dr. Mundo,0,0,0%,,,,,-,,,,,,,,2017
Draven Draven,0,0,0%,,,,,-,,,,,,,,2017
Evelynn Evelynn,0,0,0%,,,,,-,,,,,,,,2017
Fiddlesticks Fiddlesticks,0,0,0%,,,,,-,,,,,,,,2017
Fiora Fiora,0,0,0%,,,,,-,,,,,,,,2017
Garen Garen,0,0,0%,,,,,-,,,,,,,,2017
Hecarim Hecarim,0,0,0%,,,,,-,,,,,,,,2017
Heimerdinger Heimerdinger,0,0,0%,,,,,-,,,,,,,,2017
Irelia Irelia,0,0,0%,,,,,-,,,,,,,,2017
Karthus Karthus,0,0,0%,,,,,-,,,,,,,,2017
Katarina Katarina,0,0,0%,,,,,-,,,,,,,,2017
Kayle Kayle,0,0,0%,,,,,-,,,,,,,,2017
Lux Lux,0,0,0%,,,,,-,,,,,,,,2017
Malphite Malphite,0,0,0%,,,,,-,,,,,,,,2017
Master Yi Master Yi,0,0,0%,,,,,-,,,,,,,,2017
Miss Fortune Miss Fortune,0,0,0%,,,,,-,,,,,,,,2017
Nunu Nunu,0,0,0%,,,,,-,,,,,,,,2017
Olaf Olaf,0,0,0%,,,,,-,,,,,,,,2017
Pantheon Pantheon,0,0,0%,,,,,-,,,,,,,,2017
Poppy Poppy,0,0,0%,,,,,-,,,,,,,,2017
Quinn Quinn,0,0,0%,,,,,-,,,,,,,,2017
Rammus Rammus,0,0,0%,,,,,-,,,,,,,,2017
Riven Riven,0,0,0%,,,,,-,,,,,,,,2017
Shaco Shaco,0,0,0%,,,,,-,,,,,,,,2017
Shyvana Shyvana,0,0,0%,,,,,-,,,,,,,,2017
Skarner Skarner,0,0,0%,,,,,-,,,,,,,,2017
Swain Swain,0,0,0%,,,,,-,,,,,,,,2017
Talon Talon,0,0,0%,,,,,-,,,,,,,,2017
Teemo Teemo,0,0,0%,,,,,-,,,,,,,,2017
Tryndamere Tryndamere,0,0,0%,,,,,-,,,,,,,,2017
Udyr Udyr,0,0,0%,,,,,-,,,,,,,,2017
Veigar Veigar,0,0,0%,,,,,-,,,,,,,,2017
Vi Vi,0,0,0%,,,,,-,,,,,,,,2017
Viktor Viktor,0,0,0%,,,,,-,,,,,,,,2017
Volibear Volibear,0,0,0%,,,,,-,,,,,,,,2017
Warwick Warwick,0,0,0%,,,,,-,,,,,,,,2017
Wukong Wukong,0,0,0%,,,,,-,,,,,,,,2017
Xerath Xerath,0,0,0%,,,,,-,,,,,,,,2017
Xin Zhao Xin Zhao,0,0,0%,,,,,-,,,,,,,,2017
Yorick Yorick,0,0,0%,,,,,-,,,,,,,,2017
Zed Zed,0,0,0%,,,,,-,,,,,,,,2017
Ziggs Ziggs,0,0,0%,,,,,-,,,,,,,,2017
Zyra Zyra,0,0,0%,,,,,-,,,,,,,,2017
Azir Azir,0,0,0%,,,,,-,,,,,,,,2017
VelKoz VelKoz,0,0,0%,,,,,-,,,,,,,,2017
Kindred Kindred,0,0,0%,,,,,-,,,,,,,,2017
Illaoi Illaoi,0,0,0%,,,,,-,,,,,,,,2017
Jhin Jhin,0,0,0%,,,,,-,,,,,,,,2017
Kled Kled,0,0,0%,,,,,-,,,,,,,,2017
Ornn Ornn,0,0,0%,,,,,-,,,,,,,,2017
Zoe Zoe,0,0,0%,,,,,-,,,,,,,,2017
Kaisa Kaisa,0,0,0%,,,,,-,,,,,,,,2017
Pyke Pyke,0,0,0%,,,,,-,,,,,,,,2017
Neeko Neeko,0,0,0%,,,,,-,,,,,,,,2017
Sylas Sylas,0,0,0%,,,,,-,,,,,,,,2017
Yuumi Yuumi,0,0,0%,,,,,-,,,,,,,,2017
Qiyana Qiyana,0,0,0%,,,,,-,,,,,,,,2017
Senna Senna,0,0,0%,,,,,-,,,,,,,,2017
Aphelios Aphelios,0,0,0%,,,,,-,,,,,,,,2017
Sett Sett,0,0,0%,,,,,-,,,,,,,,2017
Lillia Lillia,0,0,0%,,,,,-,,,,,,,,2017
