Champion,Picks,Bans,Presence,Wins,Losses,Winrate,KDA,Avg BT,GT,CSM,DPM,GPM,CSD@15,GD@15,XPD@15,Year
Sona Sona,0,0,0%,,,,,-,,,,,,,,2021
Soraka Soraka,0,0,0%,,,,,-,,,,,,,,2021
Swain Swain,0,0,0%,,,,,-,,,,,,,,2021
Taric Taric,0,0,0%,,,,,-,,,,,,,,2021
Teemo Teemo,0,0,0%,,,,,-,,,,,,,,2021
Twitch Twitch,0,0,0%,,,,,-,,,,,,,,2021
Udyr Udyr,0,0,0%,,,,,-,,,,,,,,2021
Vayne Vayne,0,0,0%,,,,,-,,,,,,,,2021
Veigar Veigar,0,0,0%,,,,,-,,,,,,,,2021
Vi Vi,0,0,0%,,,,,-,,,,,,,,2021
Volibear Volibear,0,0,0%,,,,,-,,,,,,,,2021
Warwick Warwick,0,0,0%,,,,,-,,,,,,,,2021
Xerath Xerath,0,0,0%,,,,,-,,,,,,,,2021
Yorick Yorick,0,0,0%,,,,,-,,,,,,,,2021
Zac Zac,0,0,0%,,,,,-,,,,,,,,2021
Zed Zed,0,0,0%,,,,,-,,,,,,,,2021
Zyra Zyra,0,0,0%,,,,,-,,,,,,,,2021
RekSai RekSai,0,0,0%,,,,,-,,,,,,,,2021
VelKoz VelKoz,0,0,0%,,,,,-,,,,,,,,2021
Bard Bard,0,0,0%,,,,,-,,,,,,,,2021
Ekko Ekko,0,0,0%,,,,,-,,,,,,,,2021
Tahm Kench Tahm Kench,0,0,0%,,,,,-,,,,,,,,2021
Kindred Kindred,0,0,0%,,,,,-,,,,,,,,2021
Illaoi Illaoi,0,0,0%,,,,,-,,,,,,,,2021
Aurelion Sol Aurelion Sol,0,0,0%,,,,,-,,,,,,,,2021
Kled Kled,0,0,0%,,,,,-,,,,,,,,2021
Ivern Ivern,0,0,0%,,,,,-,,,,,,,,2021
Kayn Kayn,0,0,0%,,,,,-,,,,,,,,2021
Ornn Ornn,0,0,0%,,,,,-,,,,,,,,2021
Neeko Neeko,0,0,0%,,,,,-,,,,,,,,2021
Senna Senna,0,0,0%,,,,,-,,,,,,,,2021
Samira Samira,0,0,0%,,,,,-,,,,,,,,2021
Akshan Akshan,0,0,0%,,,,,-,,,,,,,,2021
Vex Vex,0,0,0%,,,,,-,,,,,,,,2021
Zeri Zeri,0,0,0%,,,,,-,,,,,,,,2021
Renata Glasc Renata Glasc,0,0,0%,,,,,-,,,,,,,,2021
Belveth Belveth,0,0,0%,,,,,-,,,,,,,,2021
Nilah Nilah,0,0,0%,,,,,-,,,,,,,,2021
KSante KSante,0,0,0%,,,,,-,,,,,,,,2021
Milio Milio,0,0,0%,,,,,-,,,,,,,,2021
Naafiri Naafiri,0,0,0%,,,,,-,,,,,,,,2021
Briar Briar,0,0,0%,,,,,-,,,,,,,,2021
